country_name,country_group,group_type
North Macedonia,Emerging Market and Middle-Income Europe,IMF
Montenegro,Emerging Market and Middle-Income Europe,IMF
Poland,Emerging Market and Middle-Income Europe,IMF
Romania,Emerging Market and Middle-Income Europe,IMF
Russia,Emerging Market and Middle-Income Europe,IMF
Serbia,Emerging Market and Middle-Income Europe,IMF
Turkey,Emerging Market and Middle-Income Europe,IMF
Ukraine,Emerging Market and Middle-Income Europe,IMF
Kosovo,Emerging Market and Middle-Income Europe,IMF
Aruba,Emerging Market and Middle-Income Latin America,IMF
Argentina,Emerging Market and Middle-Income Latin America,IMF
Antigua & Barbuda,Emerging Market and Middle-Income Latin America,IMF
Bahamas,Emerging Market and Middle-Income Latin America,IMF
Belize,Emerging Market and Middle-Income Latin America,IMF
Bolivia,Emerging Market and Middle-Income Latin America,IMF
Brazil,Emerging Market and Middle-Income Latin America,IMF
Barbados,Emerging Market and Middle-Income Latin America,IMF
Chile,Emerging Market and Middle-Income Latin America,IMF
Colombia,Emerging Market and Middle-Income Latin America,IMF
Costa Rica,Emerging Market and Middle-Income Latin America,IMF
Dominica,Emerging Market and Middle-Income Latin America,IMF
Dominican Republic,Emerging Market and Middle-Income Latin America,IMF
Ecuador,Emerging Market and Middle-Income Latin America,IMF
Grenada,Emerging Market and Middle-Income Latin America,IMF
Guatemala,Emerging Market and Middle-Income Latin America,IMF
Guyana,Emerging Market and Middle-Income Latin America,IMF
Jamaica,Emerging Market and Middle-Income Latin America,IMF
St. Kitts & Nevis,Emerging Market and Middle-Income Latin America,IMF
St. Lucia,Emerging Market and Middle-Income Latin America,IMF
Mexico,Emerging Market and Middle-Income Latin America,IMF
Panama,Emerging Market and Middle-Income Latin America,IMF
Peru,Emerging Market and Middle-Income Latin America,IMF
Paraguay,Emerging Market and Middle-Income Latin America,IMF
El Salvador,Emerging Market and Middle-Income Latin America,IMF
Suriname,Emerging Market and Middle-Income Latin America,IMF
Trinidad & Tobago,Emerging Market and Middle-Income Latin America,IMF
Uruguay,Emerging Market and Middle-Income Latin America,IMF
St. Vincent & Grenadines,Emerging Market and Middle-Income Latin America,IMF
Venezuela,Emerging Market and Middle-Income Latin America,IMF
United Arab Emirates,Emerging Market and Middle-Income Middle East North Africa and Pakistan,IMF
Bahrain,Emerging Market and Middle-Income Middle East North Africa and Pakistan,IMF
Algeria,Emerging Market and Middle-Income Middle East North Africa and Pakistan,IMF
Egypt,Emerging Market and Middle-Income Middle East North Africa and Pakistan,IMF
Iran,Emerging Market and Middle-Income Middle East North Africa and Pakistan,IMF
Iraq,Emerging Market and Middle-Income Middle East North Africa and Pakistan,IMF
Jordan,Emerging Market and Middle-Income Middle East North Africa and Pakistan,IMF
Kuwait,Emerging Market and Middle-Income Middle East North Africa and Pakistan,IMF
Lebanon,Emerging Market and Middle-Income Middle East North Africa and Pakistan,IMF
Libya,Emerging Market and Middle-Income Middle East North Africa and Pakistan,IMF
Morocco,Emerging Market and Middle-Income Middle East North Africa and Pakistan,IMF
Oman,Emerging Market and Middle-Income Middle East North Africa and Pakistan,IMF
Pakistan,Emerging Market and Middle-Income Middle East North Africa and Pakistan,IMF
Qatar,Emerging Market and Middle-Income Middle East North Africa and Pakistan,IMF
Saudi Arabia,Emerging Market and Middle-Income Middle East North Africa and Pakistan,IMF
Syria,Emerging Market and Middle-Income Middle East North Africa and Pakistan,IMF
Tunisia,Emerging Market and Middle-Income Middle East North Africa and Pakistan,IMF
Aruba,Emerging Market Economies,IMF
Angola,Emerging Market Economies,IMF
Albania,Emerging Market Economies,IMF
United Arab Emirates,Emerging Market Economies,IMF
Argentina,Emerging Market Economies,IMF
Armenia,Emerging Market Economies,IMF
Antigua & Barbuda,Emerging Market Economies,IMF
Azerbaijan,Emerging Market Economies,IMF
Bulgaria,Emerging Market Economies,IMF
Bahrain,Emerging Market Economies,IMF
Bahamas,Emerging Market Economies,IMF
Bosnia & Herzegovina,Emerging Market Economies,IMF
Belarus,Emerging Market Economies,IMF
Belize,Emerging Market Economies,IMF
Bolivia,Emerging Market Economies,IMF
Brazil,Emerging Market Economies,IMF
Barbados,Emerging Market Economies,IMF
Brunei,Emerging Market Economies,IMF
Botswana,Emerging Market Economies,IMF
Chile,Emerging Market Economies,IMF
China,Emerging Market Economies,IMF
Colombia,Emerging Market Economies,IMF
Cape Verde,Emerging Market Economies,IMF
Costa Rica,Emerging Market Economies,IMF
Dominica,Emerging Market Economies,IMF
Dominican Republic,Emerging Market Economies,IMF
Algeria,Emerging Market Economies,IMF
Ecuador,Emerging Market Economies,IMF
Egypt,Emerging Market Economies,IMF
Fiji,Emerging Market Economies,IMF
Micronesia (Federated States of),Emerging Market Economies,IMF
Gabon,Emerging Market Economies,IMF
Georgia,Emerging Market Economies,IMF
Equatorial Guinea,Emerging Market Economies,IMF
Grenada,Emerging Market Economies,IMF
Guatemala,Emerging Market Economies,IMF
Guyana,Emerging Market Economies,IMF
Croatia,Emerging Market Economies,IMF
Hungary,Emerging Market Economies,IMF
Indonesia,Emerging Market Economies,IMF
India,Emerging Market Economies,IMF
Iran,Emerging Market Economies,IMF
Iraq,Emerging Market Economies,IMF
Jamaica,Emerging Market Economies,IMF
Jordan,Emerging Market Economies,IMF
Kazakhstan,Emerging Market Economies,IMF
St. Kitts & Nevis,Emerging Market Economies,IMF
Kuwait,Emerging Market Economies,IMF
Lebanon,Emerging Market Economies,IMF
Libya,Emerging Market Economies,IMF
St. Lucia,Emerging Market Economies,IMF
Sri Lanka,Emerging Market Economies,IMF
Morocco,Emerging Market Economies,IMF
Maldives,Emerging Market Economies,IMF
Mexico,Emerging Market Economies,IMF
Marshall Islands,Emerging Market Economies,IMF
North Macedonia,Emerging Market Economies,IMF
Montenegro,Emerging Market Economies,IMF
Mongolia,Emerging Market Economies,IMF
Mauritius,Emerging Market Economies,IMF
Malaysia,Emerging Market Economies,IMF
Namibia,Emerging Market Economies,IMF
Nauru,Emerging Market Economies,IMF
Oman,Emerging Market Economies,IMF
Pakistan,Emerging Market Economies,IMF
Panama,Emerging Market Economies,IMF
Peru,Emerging Market Economies,IMF
Philippines,Emerging Market Economies,IMF
Palau,Emerging Market Economies,IMF
Poland,Emerging Market Economies,IMF
Paraguay,Emerging Market Economies,IMF
Qatar,Emerging Market Economies,IMF
Romania,Emerging Market Economies,IMF
Russia,Emerging Market Economies,IMF
Saudi Arabia,Emerging Market Economies,IMF
El Salvador,Emerging Market Economies,IMF
Serbia,Emerging Market Economies,IMF
Suriname,Emerging Market Economies,IMF
Eswatini,Emerging Market Economies,IMF
Seychelles,Emerging Market Economies,IMF
Syria,Emerging Market Economies,IMF
Thailand,Emerging Market Economies,IMF
Turkmenistan,Emerging Market Economies,IMF
Tonga,Emerging Market Economies,IMF
Trinidad & Tobago,Emerging Market Economies,IMF
Tunisia,Emerging Market Economies,IMF
Turkey,Emerging Market Economies,IMF
Tuvalu,Emerging Market Economies,IMF
Ukraine,Emerging Market Economies,IMF
Uruguay,Emerging Market Economies,IMF
St. Vincent & Grenadines,Emerging Market Economies,IMF
Venezuela,Emerging Market Economies,IMF
Vanuatu,Emerging Market Economies,IMF
Samoa,Emerging Market Economies,IMF
Kosovo,Emerging Market Economies,IMF
South Africa,Emerging Market Economies,IMF
Austria,Euro Area,IMF
Belgium,Euro Area,IMF
Cyprus,Euro Area,IMF
Germany,Euro Area,IMF
Spain,Euro Area,IMF
Estonia,Euro Area,IMF
Finland,Euro Area,IMF
France,Euro Area,IMF
Greece,Euro Area,IMF
Ireland,Euro Area,IMF
Italy,Euro Area,IMF
Lithuania,Euro Area,IMF
Luxembourg,Euro Area,IMF
Latvia,Euro Area,IMF
Malta,Euro Area,IMF
Netherlands,Euro Area,IMF
Portugal,Euro Area,IMF
Slovakia,Euro Area,IMF
Slovenia,Euro Area,IMF
Argentina,G20,IMF
Australia,G20,IMF
Brazil,G20,IMF
Canada,G20,IMF
China,G20,IMF
Germany,G20,IMF
France,G20,IMF
United Kingdom,G20,IMF
Indonesia,G20,IMF
India,G20,IMF
Italy,G20,IMF
Japan,G20,IMF
South Korea,G20,IMF
Mexico,G20,IMF
Russia,G20,IMF
Saudi Arabia,G20,IMF
Turkey,G20,IMF
United States,G20,IMF
South Africa,G20,IMF
Canada,G7,IMF
Germany,G7,IMF
France,G7,IMF
United Kingdom,G7,IMF
Italy,G7,IMF
Japan,G7,IMF
United States,G7,IMF
Bangladesh,Low-Income Developing Asia,IMF
Bhutan,Low-Income Developing Asia,IMF
Cambodia,Low-Income Developing Asia,IMF
Kiribati,Low-Income Developing Asia,IMF
Laos,Low-Income Developing Asia,IMF
Myanmar (Burma),Low-Income Developing Asia,IMF
Nepal,Low-Income Developing Asia,IMF
Papua New Guinea,Low-Income Developing Asia,IMF
Solomon Islands,Low-Income Developing Asia,IMF
Timor-Leste,Low-Income Developing Asia,IMF
Vietnam,Low-Income Developing Asia,IMF
Afghanistan,Low-Income Developing Countries,IMF
Burundi,Low-Income Developing Countries,IMF
Benin,Low-Income Developing Countries,IMF
Burkina Faso,Low-Income Developing Countries,IMF
Bangladesh,Low-Income Developing Countries,IMF
Bhutan,Low-Income Developing Countries,IMF
Central African Republic,Low-Income Developing Countries,IMF
Côte d’Ivoire,Low-Income Developing Countries,IMF
Cameroon,Low-Income Developing Countries,IMF
Congo - Kinshasa,Low-Income Developing Countries,IMF
Congo - Brazzaville,Low-Income Developing Countries,IMF
Comoros,Low-Income Developing Countries,IMF
Djibouti,Low-Income Developing Countries,IMF
Eritrea,Low-Income Developing Countries,IMF
Ethiopia,Low-Income Developing Countries,IMF
Ghana,Low-Income Developing Countries,IMF
Guinea,Low-Income Developing Countries,IMF
Gambia,Low-Income Developing Countries,IMF
Guinea-Bissau,Low-Income Developing Countries,IMF
Honduras,Low-Income Developing Countries,IMF
Haiti,Low-Income Developing Countries,IMF
Kenya,Low-Income Developing Countries,IMF
Kyrgyzstan,Low-Income Developing Countries,IMF
Cambodia,Low-Income Developing Countries,IMF
Kiribati,Low-Income Developing Countries,IMF
Laos,Low-Income Developing Countries,IMF
Liberia,Low-Income Developing Countries,IMF
Lesotho,Low-Income Developing Countries,IMF
Moldova,Low-Income Developing Countries,IMF
Madagascar,Low-Income Developing Countries,IMF
Mali,Low-Income Developing Countries,IMF
Myanmar (Burma),Low-Income Developing Countries,IMF
Mozambique,Low-Income Developing Countries,IMF
Mauritania,Low-Income Developing Countries,IMF
Malawi,Low-Income Developing Countries,IMF
Niger,Low-Income Developing Countries,IMF
Nigeria,Low-Income Developing Countries,IMF
Nicaragua,Low-Income Developing Countries,IMF
Nepal,Low-Income Developing Countries,IMF
Papua New Guinea,Low-Income Developing Countries,IMF
Rwanda,Low-Income Developing Countries,IMF
Sudan,Low-Income Developing Countries,IMF
Senegal,Low-Income Developing Countries,IMF
Solomon Islands,Low-Income Developing Countries,IMF
Sierra Leone,Low-Income Developing Countries,IMF
Somalia,Low-Income Developing Countries,IMF
South Sudan,Low-Income Developing Countries,IMF
São Tomé & Príncipe,Low-Income Developing Countries,IMF
Chad,Low-Income Developing Countries,IMF
Togo,Low-Income Developing Countries,IMF
Tajikistan,Low-Income Developing Countries,IMF
Timor-Leste,Low-Income Developing Countries,IMF
Tanzania,Low-Income Developing Countries,IMF
Uganda,Low-Income Developing Countries,IMF
Uzbekistan,Low-Income Developing Countries,IMF
Vietnam,Low-Income Developing Countries,IMF
Yemen,Low-Income Developing Countries,IMF
Zambia,Low-Income Developing Countries,IMF
Zimbabwe,Low-Income Developing Countries,IMF
Honduras,Low-Income Developing Latin America,IMF
Haiti,Low-Income Developing Latin America,IMF
Nicaragua,Low-Income Developing Latin America,IMF
Afghanistan,Low-Income Developing Others,IMF
Djibouti,Low-Income Developing Others,IMF
Kyrgyzstan,Low-Income Developing Others,IMF
Moldova,Low-Income Developing Others,IMF
Mauritania,Low-Income Developing Others,IMF
Sudan,Low-Income Developing Others,IMF
Somalia,Low-Income Developing Others,IMF
Tajikistan,Low-Income Developing Others,IMF
Uzbekistan,Low-Income Developing Others,IMF
Yemen,Low-Income Developing Others,IMF
Burundi,Low-Income Developing Sub-Saharan Africa,IMF
Benin,Low-Income Developing Sub-Saharan Africa,IMF
Burkina Faso,Low-Income Developing Sub-Saharan Africa,IMF
Central African Republic,Low-Income Developing Sub-Saharan Africa,IMF
Côte d’Ivoire,Low-Income Developing Sub-Saharan Africa,IMF
Cameroon,Low-Income Developing Sub-Saharan Africa,IMF
Congo - Kinshasa,Low-Income Developing Sub-Saharan Africa,IMF
Congo - Brazzaville,Low-Income Developing Sub-Saharan Africa,IMF
Comoros,Low-Income Developing Sub-Saharan Africa,IMF
Eritrea,Low-Income Developing Sub-Saharan Africa,IMF
Ethiopia,Low-Income Developing Sub-Saharan Africa,IMF
Ghana,Low-Income Developing Sub-Saharan Africa,IMF
Guinea,Low-Income Developing Sub-Saharan Africa,IMF
Gambia,Low-Income Developing Sub-Saharan Africa,IMF
Guinea-Bissau,Low-Income Developing Sub-Saharan Africa,IMF
Kenya,Low-Income Developing Sub-Saharan Africa,IMF
Liberia,Low-Income Developing Sub-Saharan Africa,IMF
Lesotho,Low-Income Developing Sub-Saharan Africa,IMF
Madagascar,Low-Income Developing Sub-Saharan Africa,IMF
Mali,Low-Income Developing Sub-Saharan Africa,IMF
Mozambique,Low-Income Developing Sub-Saharan Africa,IMF
Malawi,Low-Income Developing Sub-Saharan Africa,IMF
Niger,Low-Income Developing Sub-Saharan Africa,IMF
Nigeria,Low-Income Developing Sub-Saharan Africa,IMF
Rwanda,Low-Income Developing Sub-Saharan Africa,IMF
Senegal,Low-Income Developing Sub-Saharan Africa,IMF
Sierra Leone,Low-Income Developing Sub-Saharan Africa,IMF
South Sudan,Low-Income Developing Sub-Saharan Africa,IMF
São Tomé & Príncipe,Low-Income Developing Sub-Saharan Africa,IMF
Chad,Low-Income Developing Sub-Saharan Africa,IMF
Togo,Low-Income Developing Sub-Saharan Africa,IMF
Tanzania,Low-Income Developing Sub-Saharan Africa,IMF
Uganda,Low-Income Developing Sub-Saharan Africa,IMF
Zambia,Low-Income Developing Sub-Saharan Africa,IMF
Zimbabwe,Low-Income Developing Sub-Saharan Africa,IMF
Congo - Brazzaville,Low-Income Oil Producers,IMF
Nigeria,Low-Income Oil Producers,IMF
Chad,Low-Income Oil Producers,IMF
Timor-Leste,Low-Income Oil Producers,IMF
Yemen,Low-Income Oil Producers,IMF
Angola,Oil producers,IMF
United Arab Emirates,Oil producers,IMF
Azerbaijan,Oil producers,IMF
Bahrain,Oil producers,IMF
Brunei,Oil producers,IMF
Canada,Oil producers,IMF
Congo - Brazzaville,Oil producers,IMF
Algeria,Oil producers,IMF
Ecuador,Oil producers,IMF
Gabon,Oil producers,IMF
Equatorial Guinea,Oil producers,IMF
Iran,Oil producers,IMF
Iraq,Oil producers,IMF
Kazakhstan,Oil producers,IMF
Kuwait,Oil producers,IMF
Libya,Oil producers,IMF
Nigeria,Oil producers,IMF
Norway,Oil producers,IMF
Oman,Oil producers,IMF
Qatar,Oil producers,IMF
Russia,Oil producers,IMF
Saudi Arabia,Oil producers,IMF
Chad,Oil producers,IMF
Timor-Leste,Oil producers,IMF
Trinidad & Tobago,Oil producers,IMF
Venezuela,Oil producers,IMF
Yemen,Oil producers,IMF
United Arab Emirates,Arab World,World Bank
Bahrain,Arab World,World Bank
Comoros,Arab World,World Bank
Djibouti,Arab World,World Bank
Algeria,Arab World,World Bank
Egypt,Arab World,World Bank
Iraq,Arab World,World Bank
Jordan,Arab World,World Bank
Kuwait,Arab World,World Bank
Lebanon,Arab World,World Bank
Libya,Arab World,World Bank
Morocco,Arab World,World Bank
Mauritania,Arab World,World Bank
Oman,Arab World,World Bank
Palestinian Territories,Arab World,World Bank
Qatar,Arab World,World Bank
Saudi Arabia,Arab World,World Bank
Sudan,Arab World,World Bank
Somalia,Arab World,World Bank
Syria,Arab World,World Bank
Tunisia,Arab World,World Bank
Yemen,Arab World,World Bank
Bulgaria,Central Europe and the Baltics,World Bank
Czechia,Central Europe and the Baltics,World Bank
Estonia,Central Europe and the Baltics,World Bank
Croatia,Central Europe and the Baltics,World Bank
Hungary,Central Europe and the Baltics,World Bank
Lithuania,Central Europe and the Baltics,World Bank
Latvia,Central Europe and the Baltics,World Bank
Poland,Central Europe and the Baltics,World Bank
Romania,Central Europe and the Baltics,World Bank
Slovakia,Central Europe and the Baltics,World Bank
Slovenia,Central Europe and the Baltics,World Bank
Antigua & Barbuda,Caribbean small states,World Bank
Bahamas,Caribbean small states,World Bank
Belize,Caribbean small states,World Bank
Barbados,Caribbean small states,World Bank
Dominica,Caribbean small states,World Bank
Grenada,Caribbean small states,World Bank
Guyana,Caribbean small states,World Bank
Jamaica,Caribbean small states,World Bank
St. Kitts & Nevis,Caribbean small states,World Bank
St. Lucia,Caribbean small states,World Bank
Suriname,Caribbean small states,World Bank
Trinidad & Tobago,Caribbean small states,World Bank
St. Vincent & Grenadines,Caribbean small states,World Bank
Argentina,Early-demographic dividend,World Bank
Bangladesh,Early-demographic dividend,World Bank
Bahrain,Early-demographic dividend,World Bank
Belize,Early-demographic dividend,World Bank
Bolivia,Early-demographic dividend,World Bank
Bhutan,Early-demographic dividend,World Bank
Botswana,Early-demographic dividend,World Bank
Cape Verde,Early-demographic dividend,World Bank
Djibouti,Early-demographic dividend,World Bank
Dominican Republic,Early-demographic dividend,World Bank
Algeria,Early-demographic dividend,World Bank
Ecuador,Early-demographic dividend,World Bank
Egypt,Early-demographic dividend,World Bank
Ethiopia,Early-demographic dividend,World Bank
Micronesia (Federated States of),Early-demographic dividend,World Bank
Gabon,Early-demographic dividend,World Bank
Ghana,Early-demographic dividend,World Bank
Grenada,Early-demographic dividend,World Bank
Guatemala,Early-demographic dividend,World Bank
Honduras,Early-demographic dividend,World Bank
Haiti,Early-demographic dividend,World Bank
Indonesia,Early-demographic dividend,World Bank
India,Early-demographic dividend,World Bank
Iran,Early-demographic dividend,World Bank
Israel,Early-demographic dividend,World Bank
Jordan,Early-demographic dividend,World Bank
Cambodia,Early-demographic dividend,World Bank
Kiribati,Early-demographic dividend,World Bank
Laos,Early-demographic dividend,World Bank
Libya,Early-demographic dividend,World Bank
Lesotho,Early-demographic dividend,World Bank
Maldives,Early-demographic dividend,World Bank
Mexico,Early-demographic dividend,World Bank
Myanmar (Burma),Early-demographic dividend,World Bank
Namibia,Early-demographic dividend,World Bank
Nicaragua,Early-demographic dividend,World Bank
Nepal,Early-demographic dividend,World Bank
Pakistan,Early-demographic dividend,World Bank
Panama,Early-demographic dividend,World Bank
Peru,Early-demographic dividend,World Bank
Philippines,Early-demographic dividend,World Bank
Papua New Guinea,Early-demographic dividend,World Bank
Paraguay,Early-demographic dividend,World Bank
Palestinian Territories,Early-demographic dividend,World Bank
Rwanda,Early-demographic dividend,World Bank
Saudi Arabia,Early-demographic dividend,World Bank
Solomon Islands,Early-demographic dividend,World Bank
El Salvador,Early-demographic dividend,World Bank
Suriname,Early-demographic dividend,World Bank
Eswatini,Early-demographic dividend,World Bank
Syria,Early-demographic dividend,World Bank
Tajikistan,Early-demographic dividend,World Bank
Turkmenistan,Early-demographic dividend,World Bank
Tonga,Early-demographic dividend,World Bank
Turkey,Early-demographic dividend,World Bank
Uzbekistan,Early-demographic dividend,World Bank
Venezuela,Early-demographic dividend,World Bank
Vanuatu,Early-demographic dividend,World Bank
Samoa,Early-demographic dividend,World Bank
Yemen,Early-demographic dividend,World Bank
South Africa,Early-demographic dividend,World Bank
Zimbabwe,Early-demographic dividend,World Bank
American Samoa,East Asia & Pacific,World Bank
Australia,East Asia & Pacific,World Bank
Brunei,East Asia & Pacific,World Bank
China,East Asia & Pacific,World Bank
Fiji,East Asia & Pacific,World Bank
Micronesia (Federated States of),East Asia & Pacific,World Bank
Guam,East Asia & Pacific,World Bank
Hong Kong SAR China,East Asia & Pacific,World Bank
Indonesia,East Asia & Pacific,World Bank
Japan,East Asia & Pacific,World Bank
Cambodia,East Asia & Pacific,World Bank
Kiribati,East Asia & Pacific,World Bank
South Korea,East Asia & Pacific,World Bank
Laos,East Asia & Pacific,World Bank
Macao SAR China,East Asia & Pacific,World Bank
Marshall Islands,East Asia & Pacific,World Bank
Myanmar (Burma),East Asia & Pacific,World Bank
Mongolia,East Asia & Pacific,World Bank
Northern Mariana Islands,East Asia & Pacific,World Bank
Malaysia,East Asia & Pacific,World Bank
New Caledonia,East Asia & Pacific,World Bank
Nauru,East Asia & Pacific,World Bank
New Zealand,East Asia & Pacific,World Bank
Philippines,East Asia & Pacific,World Bank
Palau,East Asia & Pacific,World Bank
Papua New Guinea,East Asia & Pacific,World Bank
North Korea,East Asia & Pacific,World Bank
French Polynesia,East Asia & Pacific,World Bank
Singapore,East Asia & Pacific,World Bank
Solomon Islands,East Asia & Pacific,World Bank
Thailand,East Asia & Pacific,World Bank
Timor-Leste,East Asia & Pacific,World Bank
Tonga,East Asia & Pacific,World Bank
Tuvalu,East Asia & Pacific,World Bank
Taiwan,East Asia & Pacific,World Bank
Vietnam,East Asia & Pacific,World Bank
Vanuatu,East Asia & Pacific,World Bank
Samoa,East Asia & Pacific,World Bank
Albania,Europe & Central Asia,World Bank
Andorra,Europe & Central Asia,World Bank
Armenia,Europe & Central Asia,World Bank
Austria,Europe & Central Asia,World Bank
Azerbaijan,Europe & Central Asia,World Bank
Belgium,Europe & Central Asia,World Bank
Bulgaria,Europe & Central Asia,World Bank
Bosnia & Herzegovina,Europe & Central Asia,World Bank
Belarus,Europe & Central Asia,World Bank
Switzerland,Europe & Central Asia,World Bank
Channel Islands,Europe & Central Asia,World Bank
Cyprus,Europe & Central Asia,World Bank
Czechia,Europe & Central Asia,World Bank
Germany,Europe & Central Asia,World Bank
Denmark,Europe & Central Asia,World Bank
Spain,Europe & Central Asia,World Bank
Estonia,Europe & Central Asia,World Bank
Finland,Europe & Central Asia,World Bank
France,Europe & Central Asia,World Bank
Faroe Islands,Europe & Central Asia,World Bank
United Kingdom,Europe & Central Asia,World Bank
Georgia,Europe & Central Asia,World Bank
Gibraltar,Europe & Central Asia,World Bank
Greece,Europe & Central Asia,World Bank
Greenland,Europe & Central Asia,World Bank
Croatia,Europe & Central Asia,World Bank
Hungary,Europe & Central Asia,World Bank
Isle of Man,Europe & Central Asia,World Bank
Ireland,Europe & Central Asia,World Bank
Iceland,Europe & Central Asia,World Bank
Italy,Europe & Central Asia,World Bank
Kazakhstan,Europe & Central Asia,World Bank
Kyrgyzstan,Europe & Central Asia,World Bank
Liechtenstein,Europe & Central Asia,World Bank
Lithuania,Europe & Central Asia,World Bank
Luxembourg,Europe & Central Asia,World Bank
Latvia,Europe & Central Asia,World Bank
Monaco,Europe & Central Asia,World Bank
Moldova,Europe & Central Asia,World Bank
North Macedonia,Europe & Central Asia,World Bank
Montenegro,Europe & Central Asia,World Bank
Netherlands,Europe & Central Asia,World Bank
Norway,Europe & Central Asia,World Bank
Poland,Europe & Central Asia,World Bank
Portugal,Europe & Central Asia,World Bank
Romania,Europe & Central Asia,World Bank
Russia,Europe & Central Asia,World Bank
San Marino,Europe & Central Asia,World Bank
Serbia,Europe & Central Asia,World Bank
Slovakia,Europe & Central Asia,World Bank
Slovenia,Europe & Central Asia,World Bank
Sweden,Europe & Central Asia,World Bank
Tajikistan,Europe & Central Asia,World Bank
Turkmenistan,Europe & Central Asia,World Bank
Turkey,Europe & Central Asia,World Bank
Ukraine,Europe & Central Asia,World Bank
Uzbekistan,Europe & Central Asia,World Bank
Kosovo,Europe & Central Asia,World Bank
Austria,Euro area,World Bank
Belgium,Euro area,World Bank
Cyprus,Euro area,World Bank
Germany,Euro area,World Bank
Spain,Euro area,World Bank
Estonia,Euro area,World Bank
Finland,Euro area,World Bank
France,Euro area,World Bank
Greece,Euro area,World Bank
Ireland,Euro area,World Bank
Italy,Euro area,World Bank
Lithuania,Euro area,World Bank
Luxembourg,Euro area,World Bank
Latvia,Euro area,World Bank
Malta,Euro area,World Bank
Netherlands,Euro area,World Bank
Portugal,Euro area,World Bank
Slovakia,Euro area,World Bank
Slovenia,Euro area,World Bank
Austria,European Union,World Bank
Belgium,European Union,World Bank
Bulgaria,European Union,World Bank
Cyprus,European Union,World Bank
Czechia,European Union,World Bank
Germany,European Union,World Bank
Denmark,European Union,World Bank
